 Procedimentos hospitalares do SUS - por local de internação - São Paulo;;;
Internações por Estabelecimento e Gestão;;;
Período:2024;;;
Estabelecimento;Estadual plena;Municipal plena assist;Total
0008028 HOSPITAL MUNICIPAL ANTONIO GIGLIO;-;10326;10326
0008036 HOSPITAL MATERNIDADE AMADOR AGUIAR;-;7678;7678
0008052 HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO;5154;-;5154
0008087 PRONTO SOCORRO CONRADO CESARINO NUVOLINI;-;1242;1242
0008141 PRONTO SOCORRO DR ANTONIO FLAVIO FRANCA;-;385;385
0008494 UPA BANGU;-;1520;1520
0008923 CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO;-;20922;20922
0009539 HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO;-;212;212
0009601 HOSPITAL PIO XII;-;4924;4924
0009628 HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE;-;28266;28266
0009695 CENTRO DE REFERENCIA EM MOLESTIAS INFECCIOSAS;-;188;188
0021520 UPA VILA LUZITA;-;1295;1295
0024228 UPA CENTRAL EMILIO PIRES MAGALHAES;-;1341;1341
0026417 HOSPITAL DE CLINICAS SUL;-;2368;2368
0092894 HOSPITAL REGIONAL DO LITORAL NORTE;10501;-;10501
0102075 HOSPITAL MUNICIPAL DA BELA VISTA SANTA DULCE DOS POBRES;-;469;469
0102105 HOSPITAL MUNICIPAL BRASILANDIA;-;7718;7718
0115509 HOSPITAL DE CLINICAS ANJO GABRIEL;-;2606;2606
0127604 HOSPITAL DE RETAGUARDA DO JARDIM PAULISTA;-;1143;1143
0161438 HOSPITAL MUNICIPAL GUARAPIRANGA;-;2715;2715
0265187 HOSPITAL DE CLINICAS DE SAO SEBASTIAO COSTA SUL;-;171;171
0404853 AME AMBULATORIO MEDICO DE ESPECIALIDADES DE CAMPINAS;3861;-;3861
0605484 AMHE MED SOROCABA;-;905;905
0852554 I E PACHECO SERVICOS MEDICOS LTDA CARAGUATATUBA;-;18;18
2022621 MATERNIDADE DE CAMPINAS;-;9533;9533
2022648 HOSPITAL IRMAOS PENTEADO E SANTA CASA DE CAMPINAS;-;2036;2036
2023016 CASA DE CARIDADE SAO VICENTE DE PAULO CAJURU;-;3225;3225
2023474 HOSPITAL MUNICIPAL WALTER FERRARI;-;3459;3459
2023709 SANTA CASA DE MISERICORDIA DE ITATIBA;-;5976;5976
2023865 HOSPITAL MUNICIPAL DR AMADEU PAGLIUSO;-;64;64
2024438 HOSPITAL E MATERNIDADE DRA ADONIRAN CORREIA CAMPOS MONGAGUA;-;888;888
2024691 SANTA CASA DE CRUZEIRO;-;5773;5773
2024756 HOSPITAL E MATERNIDADE NOSSA SENHORA DA AJUDA;-;3563;3563
2024772 SANTA CASA DE MISERICORDIA SAO JOSE;-;124;124
2025361 HOSPITAL DE CANCER DE SAO BERNARDO DO CAMPO PADRE ANCHIETA;-;2814;2814
2025477 HOSPITAL E MATERNIDADE SANTA ISABEL DE JABOTICABAL;-;2134;2134
2025507 HOSPITAL DAS CLINICAS HCFAMEMA;14904;-;14904
2025752 SANTA CASA DE SANTOS;-;10738;10738
2026805 SANTA CASA DE GUARIBA;-;1608;1608
2027186 SANTA CASA DE MISERICORDIA DE ITAPEVA;-;9320;9320
2027240 HOSPITAL DIA BUTANTA;-;1248;1248
2027356 HOSPITAL DA MULHER;-;8494;8494
2028204 SANTA CASA DE MONTE ALTO;-;2667;2667
2028239 HOSPITAL REGIONAL DE TEODORO SAMPAIO;-;846;846
2028840 INSTITUTO DE INFECTOLOGIA EMILIO RIBAS;2263;-;2263
2035723 HOSPITAL CEPOG;-;86;86
2040069 HOSPITAL MATERNIDADE JESUS JOSE E MARIA;-;7805;7805
2040573 AMBULAT DE ESPECIALIDADES E HOSPITAL DIA DR RENATO RIGGIO JR;-;4301;4301
2042894 SECAO PRONTO SOCORRO CENTRAL SEPROS C;-;793;793
2053500 HOSPITAL SENHOR BOM JESUS;-;598;598
2053519 MATERNIDADE FERNANDO MAGALHAES;-;740;740
2058243 SANTA CASA DE MISERICORDIA DE SAO SIMAO;-;314;314
2058308 HOSPITAL E MATERNIDADE MUNICIPAL DR ACILIO CARRION GARCIA;-;1454;1454
2058332 HOSPITAL MANOEL DE ABREU BAURU;1639;-;1639
2058340 HOSPITAL MUNICIPAL DE QUELUZ;-;203;203
2058405 UNIDADE MISTA DE SAUDE DE SILVEIRAS;-;36;36
2058626 HOSPITAL MAHATMA GANDHI;-;1106;1106
2058782 HOSPITAL PSIQUIATRICO ESPIRITA BEZERRA DE MENEZES P PRUDENT;909;-;909
2058790 HOSPITAL MUNICIPAL DR WALDEMAR TEBALDI;-;8515;8515
2065665 HOSPITAL MATERNIDADE INTERLAGOS;5720;-;5720
2066092 HOSPITAL GERAL DE PEDREIRA;17705;-;17705
