"Município";"Valor Transferido"
"ADAMANTINA";28544375,95
"ADOLFO";3017108,74
"AGUAÍ";9124551,34
"ÁGUAS DA PRATA";2100858,99
"ÁGUAS DE LINDÓIA";4721278,82
"ÁGUAS DE SANTA BÁRBARA";1423915,08
"ÁGUAS DE SÃO PEDRO";1490011,05
"AGUDOS";13666631,49
"ALAMBARI";2477144,7
"ALFREDO MARCONDES";2367375,77
"ALTAIR";1932099,3
"ALTINÓPOLIS";7840904,45
"ALTO ALEGRE";2091398,25
"ALUMÍNIO";1772501,14
"ÁLVARES FLORENCE";1667726,2
"ÁLVARES MACHADO";9189479,66
"ÁLVARO DE CARVALHO";2456408,29
"ALVINLÂNDIA";1486357,39
"AMERICANA";63340173,08
"AMÉRICO BRASILIENSE";8975825,43
"AMÉRICO DE CAMPOS";2848817,95
"AMPARO";62366675,89
"ANALÂNDIA";959072,09
"ANDRADINA";76782198,34
"ANGATUBA";12048591,6
"ANHEMBI";2002129,29
"ANHUMAS";2824560,77
"APARECIDA";8822672,41
"APARECIDA D'OESTE";2666171,52
"APIAÍ";20145641,81
"ARAÇARIGUAMA";10216302,94
"ARAÇATUBA";77298804,05
"ARAÇOIABA DA SERRA";9283776
"ARAMINA";2261100,44
"ARANDU";3113456,99
"ARAPEÍ";1497175,62
"ARARAQUARA";272874102,35
"ARARAS";79436655,68
"ARCO-ÍRIS";790611,07
"AREALVA";5719823,61
"AREIAS";2298828,4
"AREIÓPOLIS";4019179,26
"ARIRANHA";3722742,34
"ARTUR NOGUEIRA";12808315,26
"ARUJÁ";30007875,26
"ASPÁSIA";1003967,72
"ASSIS";49348872,28
"ATIBAIA";34461358,83
"AURIFLAMA";5435556,19
"AVAÍ";2709311,66
"AVANHANDAVA";3452298,23
"AVARÉ";42431389,2
"BADY BASSITT";6798790,78
"BALBINOS";1123425,34
"BÁLSAMO";3106943,56
"BANANAL";7937376,22
"BARÃO DE ANTONINA";1437479,56
"BARBOSA";2931406,39
"BARIRI";8632796,32
"BARRA BONITA";8652581,83
"BARRA DO CHAPÉU";2964073,37
"BARRA DO TURVO";2815348,82
"BARRETOS";123987678,74
"BARRINHA";9035376,33
"BARUERI";78842582,56
"BASTOS";9485713,58
"BATATAIS";39845227,92
"BAURU";83518860,54
"BEBEDOURO";37416935,9
"BENTO DE ABREU";1373724,1
"BERNARDINO DE CAMPOS";7079502,88
"BERTIOGA";16655670,1
"BILAC";6442381,25
"BIRIGUI";32456130,1
"BIRITIBA-MIRIM";8561694,22
"BOA ESPERANÇA DO SUL";6517301,81
"BOCAINA";2928717,13
"BOFETE";2222975,26
"BOITUVA";12375551,11
"BOM JESUS DOS PERDÕES";4023632,5
"BOM SUCESSO DE ITARARÉ";2047827,39
"BORÁ";562646,83
"BORACÉIA";1944042,73
"BORBOREMA";6240789,88
"BOREBI";1721116,8
"BOTUCATU";29960211,78
"BRAGANÇA PAULISTA";57905879,83
"BRAÚNA";2481303,43
"BREJO ALEGRE";921874,62
"BRODOWSKI";8072309,35
"BROTAS";4218761,9
"BURI";6503706,36
"BURITAMA";11601920,5
"BURITIZAL";1389078,09
"CABRÁLIA PAULISTA";1715501,94
"CABREÚVA";8340882,26
"CAÇAPAVA";38127853,39
"CACHOEIRA PAULISTA";9954584,1
"CACONDE";3798402,8
"CAFELÂNDIA";7058150,64
"CAIABU";2053077,81
"CAIEIRAS";31049066,75
"CAIUÁ";2157732,17
"CAJAMAR";38680752,51
"CAJATI";10519971,41
"CAJOBI";5082483,39
"CAJURU";11325433,57
"CAMPINA DO MONTE ALEGRE";3785505,07
