"Município";"IDHM 2010";"IDHM
Renda
2010";"IDHM Longevidade 2010";"IDHM Educação 2010";"Estado"
"São Caetano do Sul";0,862;0,891;0,887;0,811;"SP"
"Águas de São Pedro";0,854;0,849;0,89;0,825;"SP"
"Florianópolis";0,847;0,87;0,873;0,8;"SC"
"Balneário Camboriú";0,845;0,854;0,894;0,789;"SC"
"Vitória";0,845;0,876;0,855;0,805;"ES"
"Santos";0,84;0,861;0,852;0,807;"SP"
"Niterói";0,837;0,887;0,854;0,773;"RJ"
"Joaçaba";0,827;0,823;0,891;0,771;"SC"
"Brasília";0,824;0,863;0,873;0,742;"DF"
"Curitiba";0,823;0,85;0,855;0,768;"PR"
"Jundiaí";0,822;0,834;0,866;0,768;"SP"
"Valinhos";0,819;0,848;0,85;0,763;"SP"
"Vinhedo";0,817;0,84;0,878;0,739;"SP"
"Santo André";0,815;0,819;0,861;0,769;"SP"
"Araraquara";0,815;0,788;0,877;0,782;"SP"
"Santana de Parnaíba";0,814;0,876;0,849;0,725;"SP"
"Nova Lima";0,813;0,864;0,885;0,704;"MG"
"Ilha Solteira";0,812;0,786;0,871;0,782;"SP"
"Americana";0,811;0,8;0,876;0,76;"SP"
"Belo Horizonte";0,81;0,841;0,856;0,737;"MG"
"São José";0,809;0,799;0,88;0,752;"SC"
"Joinville";0,809;0,795;0,889;0,749;"SC"
"Maringá";0,808;0,806;0,852;0,768;"PR"
"São José dos Campos";0,807;0,804;0,855;0,764;"SP"
"Blumenau";0,806;0,812;0,894;0,722;"SC"
"Presidente Prudente";0,806;0,788;0,858;0,774;"SP"
"Rio Fortuna";0,806;0,848;0,85;0,727;"SC"
"São Paulo";0,805;0,843;0,855;0,725;"SP"
"Assis";0,805;0,771;0,865;0,781;"SP"
"Campinas";0,805;0,829;0,86;0,731;"SP"
"São Bernardo do Campo";0,805;0,807;0,861;0,752;"SP"
"Porto Alegre";0,805;0,867;0,857;0,702;"RS"
"São Carlos";0,805;0,788;0,863;0,766;"SP"
"Rio Claro";0,803;0,784;0,862;0,766;"SP"
"Jaraguá do Sul";0,803;0,793;0,865;0,755;"SC"
"Rio do Sul";0,802;0,793;0,894;0,727;"SC"
"Bauru";0,801;0,8;0,854;0,752;"SP"
"São Miguel do Oeste";0,801;0,787;0,884;0,739;"SC"
"Pirassununga";0,801;0,789;0,884;0,736;"SP"
"Concórdia";0,8;0,777;0,872;0,756;"SC"
"Vila Velha";0,8;0,807;0,864;0,734;"ES"
"Taubaté";0,8;0,778;0,883;0,746;"SP"
"Ribeirão Preto";0,8;0,82;0,844;0,739;"SP"
"Botucatu";0,8;0,79;0,869;0,746;"SP"
"Goiânia";0,799;0,824;0,838;0,739;"GO"
"Rio de Janeiro";0,799;0,84;0,845;0,719;"RJ"
"Marília";0,798;0,768;0,854;0,776;"SP"
"Sorocaba";0,798;0,792;0,843;0,762;"SP"
"Guaratinguetá";0,798;0,764;0,886;0,751;"SP"
"São João da Boa Vista";0,797;0,776;0,871;0,749;"SP"
"São José do Rio Preto";0,797;0,801;0,846;0,748;"SP"
"Fernandópolis";0,797;0,767;0,872;0,758;"SP"
"Itapema";0,796;0,788;0,881;0,727;"SC"
"Tubarão";0,796;0,788;0,866;0,74;"SC"
"Carlos Barbosa";0,796;0,835;0,835;0,724;"RS"
"Brusque";0,795;0,794;0,894;0,707;"SC"
"Iomerê";0,795;0,754;0,891;0,749;"SC"
