"cod_municipio ibge";"Município";"Gini_2010"
"350010";"Adamantina";0,5151
"350020";"Adolfo";0,4111
"350030";"Aguaí";0,4804
"350040";"Águas da Prata";0,5305
"350050";"Águas de Lindóia";0,4612
"350055";"Águas de Santa Bárbara";0,4948
"350060";"Águas de São Pedro";0,5438
"350070";"Agudos";0,4306
"350075";"Alambari";0,4449
"350080";"Alfredo Marcondes";0,3639
"350090";"Altair";0,4243
"350100";"Altinópolis";0,4467
"350110";"Alto Alegre";0,3638
"350115";"Alumínio";0,4285
"350120";"Álvares Florence";0,4169
"350130";"Álvares Machado";0,4657
"350140";"Álvaro de Carvalho";0,3867
"350150";"Alvinlândia";0,5333
"350160";"Americana";0,4693
"350170";"Américo Brasiliense";0,3972
"350180";"Américo de Campos";0,4367
"350190";"Amparo";0,4977
"350200";"Analândia";0,5326
"350210";"Andradina";0,5204
"350220";"Angatuba";0,4496
"350230";"Anhembi";0,4241
"350240";"Anhumas";0,4225
"350250";"Aparecida";0,4861
"350260";"Aparecida d'Oeste";0,4716
"350270";"Apiaí";0,5556
"350275";"Araçariguama";0,4695
"350280";"Araçatuba";0,54
"350290";"Araçoiaba da Serra";0,5332
"350300";"Aramina";0,4301
"350310";"Arandu";0,3922
"350315";"Arapeí";0,3981
"350320";"Araraquara";0,5039
"350330";"Araras";0,4815
"350335";"Arco-Íris";0,4082
"350340";"Arealva";0,4514
"350350";"Areias";0,4597
"350360";"Areiópolis";0,3658
"350370";"Ariranha";0,403
"350380";"Artur Nogueira";0,4709
"350390";"Arujá";0,5769
"350395";"Aspásia";0,4651
"350400";"Assis";0,504
"350410";"Atibaia";0,5512
"350420";"Auriflama";0,4741
"350430";"Avaí";0,4875
"350440";"Avanhandava";0,4415
"350450";"Avaré";0,4795
"350460";"Bady Bassitt";0,3665
"350470";"Balbinos";0,3839
"350480";"Bálsamo";0,4387
"350490";"Bananal";0,5145
"350500";"Barão de Antonina";0,4772
"350510";"Barbosa";0,4129
"350520";"Bariri";0,4305
"350530";"Barra Bonita";0,454
"350535";"Barra do Chapéu";0,5492
"350540";"Barra do Turvo";0,5043
"350550";"Barretos";0,4893
"350560";"Barrinha";0,4084
"350570";"Barueri";0,6201
"350580";"Bastos";0,4175
"350590";"Batatais";0,5
"350600";"Bauru";0,5596
"350610";"Bebedouro";0,508
"350620";"Bento de Abreu";0,3847
"350630";"Bernardino de Campos";0,456
"350635";"Bertioga";0,4924
"350640";"Bilac";0,4309
"350650";"Birigui";0,4286
"350660";"Biritiba-Mirim";0,5377
"350670";"Boa Esperança do Sul";0,4439
"350680";"Bocaina";0,4343
"350690";"Bofete";0,4729
"350700";"Boituva";0,4937
"350710";"Bom Jesus dos Perdões";0,4914
"350715";"Bom Sucesso de Itararé";0,4456
"350720";"Borá";0,4002
"350730";"Boracéia";0,3879
"350740";"Borborema";0,4279
"350745";"Borebi";0,3993
"350750";"Botucatu";0,556
"350760";"Bragança Paulista";0,5271
"350770";"Braúna";0,4327
"350775";"Brejo Alegre";0,3982
"350780";"Brodowski";0,4451
"350790";"Brotas";0,4204
"350800";"Buri";0,513
"350810";"Buritama";0,4469
"350820";"Buritizal";0,4663
"350830";"Cabrália Paulista";0,405
"350840";"Cabreúva";0,4225
"350850";"Caçapava";0,5105
"350860";"Cachoeira Paulista";0,5284
"350870";"Caconde";0,5006
