"CNES";"UF";"IBGE";"NOME";"LOGRADOURO";"BAIRRO";"LATITUDE";"LONGITUDE"
2789310;35;355030;"UBS VILA COSMOPOLITA";"RUA CHUVAS DE VERAO";"GUAIANASES";-23,56096;-46,42381
8168;35;353440;"UBS MARIA GATTI GIGLIO";"AV DAS FLORES";"JD DAS FLORES";-23,53695;-46,79405
8133;35;353440;"UBS VILA MENCK";"R RIBEIRAO PIRES";"VIL MENCK";-23,49718;-46,77212
8656;35;354780;"UBS PARQUE NOVO ORATORIO";"RUA TUNISIA";"PARQUE ORATORIO";-23,63008;-46,50899
4676971;35;354850;"USF VILA GILDA";"AV BRIGADEIRO FARIA LIMA";"RADIO CLUBE";-23,93867;-46,38772
8095;35;353440;"UBS DARCY ALVES E ROBALINHO";"AVENIDA SAO JOSE";"VIL SAO JOSE";-23,51367;-46,76427
8176;35;353440;"UBS NEYDE ALVES DA SILVA";"RUA AMEIXEIRA";"CIDADE DAS FLORES";-23,53188;-46,80686
8214;35;353440;"UBS JOSE HILARIO DOS SANTOS";"RUA AMADOR BUENO";"JD PIRATININGA";-23,51845;-46,79453
8249;35;353440;"UBS ANUNCIATA DE LUCIA";"RUA SAO JORGE";"VIL ISABEL";-23,53593;-46,80386
8265;35;353440;"UBS FRANCISCA LIMA DE LIRA";"RUA JUSCELINO KUBITSCHEK DE OLIVEIRA";"PORTAL DOESTE";-23,49213;-46,79167
8273;35;353440;"UBS PE GUERRINO RICIOTTI";"RUA SANTO UBALDO";"VIL DOS REMEDIOS";-23,318;-46,4521
8303;35;353440;"UBS JOSE FRANCISCO REZENDE";"RUA CONCEICAO SIGLIANO";"VIL YOLANDA";-23,52893;-46,79596
8370;35;353440;"UBS JOSE SABINO FERREIRA";"RUA LUIS GATTI";"JD BARONESA";-23,4992;-46,78384
8397;35;353440;"UBS ODUVALDO MAGLIO";"RUA ANSELMO PEDRO DE MEDEIROS";"CAMPESINA";-23,54493;-46,76346
8400;35;353440;"UBS DR ADAUTO RIBEIRO";"RUA SERRA DO RONCADOR";"JAD TRES MONTANHAS";-23,4797;-46,78318
8419;35;353440;"UBS LIA BUARQUE DE MACEDO GASPARINI";"AVENIDA CLOVIS ASSAF";"VILA DA CONQUISTA";-23,58021;-46,80317
8508;35;354780;"UBS DR MOYSES FUCS";"RUA ALEXANDRETA";"JARDIM SANTO ANTONIO";-23,62826;-46,52236
8524;35;354780;"UBS PARANAPIACABA";"AVENIDA FFORD";"PARANAPIACABA";-23,777;-46,29896
8532;35;354780;"UBS UTINGA";"ALAMEDA MEXICO";"VILA METALURGICA";-23,62635;-46,53345
8346;35;353440;"UBS FRANCISCO DIAS DA SILVA";"RUA MAL EDGAR DE OLIVEIRA";"VIL QUITAUNA";-23,53117;-46,81022
8362;35;353440;"UBS RAIMUNDA CAVALCANTE DE SOUZA";"RUA PROFESSORA ADELAIDE ESCOBAR BUENO";"MUNHOZ JR";-23,49828;-46,80389
8567;35;354780;"UBS JARDIM BOM PASTOR";"RUA JOSE DANGELO";"JARDIM BOM PASTOR";-23,67454;-46,55282
8575;35;354780;"UBS VILA LINDA";"RUA INGA";"VILA LINDA";-23,69219;-46,52022
8583;35;354780;"UBS VILA LUCINDA";"RUA CACONDE";"VILA LUCINDA";-23,62524;-46,5155
8591;35;354780;"UBS CAMPESTRE";"RUA DAS FIGUEIRAS";"CAMPESTRE";-23,64389;-46,54795
8613;35;354780;"UBS VILA PALMARES";"PRACA AUREA";"VILA PALMARES";-23,65181;-46,56061
8648;35;354780;"UBS VILA HUMAITA";"RUA FERNANDO DE MASCARENHAS";"VILA HUMAITA";-23,67299;-46,50199
8672;35;354780;"UBS PARQUE JOAO RAMALHO";"RUA MARAGOGIPE";"PARQUE JOAO RAMALHO";-23,64631;-46,50953
8702;35;354780;"UBS JARDIM CARLA";"RUA JOSE DE ALENCAR";"CONDOMINIO MARACANA";-23,69325;-46,49433
